Bcode,YEAR,VAR,LOCATION,CLASS,CAVOL,FPROT,FSDS,FSR_S,FSR_W,FSR_C,BKFYELD
190600014,19,STINGRAY,PALOUSE CONSERVATION,Common,1175,8.2,7.3,NA,54.6,NA,46.2
190600015,19,CURIOSITY,PALOUSE CONSERVATION,Common,1220,9,12.8,NA,56,NA,44.6
190600016,19,WA8274,PALOUSE CONSERVATION,Common,1185,8.2,9.9,NA,57.1,NA,45.2
190600017,19,MELA,PALOUSE CONSERVATION,Common,1225,8.6,14.2,NA,55.1,NA,44.2
190600018,19,STEPHENS,PALOUSE CONSERVATION,Common,1210,9,11.3,NA,54.5,NA,46.4
190710001,19,TANDEM,WALLA WALLA,Common,1160,9,10.8,NA,54.1,NA,44.9
190710002,19,HULK,WALLA WALLA,Common,1200,9.5,11.6,NA,52.8,NA,46
190710003,19,ASSURE,WALLA WALLA,Common,1180,9.3,8.4,NA,52.2,NA,47.9
190710004,19,ROSALYN,WALLA WALLA,Common,1210,8.1,7,NA,55.1,NA,47
190710005,19,PUMA,WALLA WALLA,Common,1165,9.4,9.6,NA,52.8,NA,49.4
190710006,19,JASPER,WALLA WALLA,Common,1240,9,10.2,NA,50.7,NA,50.7
190710007,19,PURL,WALLA WALLA,Common,1125,9.3,10.2,NA,54.1,NA,46.5
190710008,19,STINGRAY,WALLA WALLA,Common,1170,9.2,7.9,NA,52.9,NA,46.9
190710009,19,SWW10111-DH-44-S,WALLA WALLA,Common,1210,8.9,9.9,NA,56.9,NA,46.5
190710010,19,WA8293,WALLA WALLA,Common,1180,8.9,9.9,NA,55.5,NA,48.1
190710011,19,SWF1F1068-0-0-0-3,WALLA WALLA,Common,1120,8.4,8.4,NA,54.1,NA,50
190710012,19,HRSWQ003-0-0-0-2,WALLA WALLA,Common,1200,8.9,10.2,NA,54.7,NA,49
190710013,19,WA8307,WALLA WALLA,Common,1185,8.7,8.4,NA,56.6,NA,45
190710014,19,SWW12128-DH-1-10,WALLA WALLA,Common,1225,8.6,7.9,NA,54.5,NA,50.8
190710015,19,WA8305,WALLA WALLA,Common,1285,8.8,9.9,NA,52.4,NA,48
190710016,19,WA8306,WALLA WALLA,Common,1270,8.5,9.6,NA,51.5,NA,49.5
190710017,19,SWW13070-DH-2,WALLA WALLA,Common,1185,9.4,10.5,NA,52.2,NA,49.6
190710018,19,SWW13412-DH-3,WALLA WALLA,Common,1265,8,6.7,NA,53.9,NA,48.1
190710019,19,SWW11076-B-0-0-8,WALLA WALLA,Common,1255,8.9,10.5,NA,50.9,NA,50.6
190710020,19,SWW11143-B-0-0-4,WALLA WALLA,Common,1205,8.8,10.2,NA,53.6,NA,47.6
190710021,19,MAS11099-1--S- 8-0-2,WALLA WALLA,Common,1255,8.9,7.6,NA,52.5,NA,49.2
190710022,19,SWW12240-DH-7-1,WALLA WALLA,Common,1185,8.9,11,NA,54.4,NA,48.4
190710023,19,SWW12160-B-S-6-1-13,WALLA WALLA,Common,1230,9.4,9.3,NA,53,NA,50.1
190710024,19,SWW12160-B-S-6-1-18,WALLA WALLA,Common,1250,8.8,10.5,NA,51.7,NA,51.6
190710025,19,SWW12164-B-S-8-1-6,WALLA WALLA,Common,1230,8.7,9.3,NA,53.8,NA,48.9
190710026,19,SWW12146-B-0-4,WALLA WALLA,Common,1180,9,9.3,NA,53.9,NA,49.4
190710027,19,HWW12041-B-S-2-1-1,WALLA WALLA,Common,1205,9.3,13.4,NA,56.4,NA,45.2
190710028,19,STEPHENS,WALLA WALLA,Common,1225,9.1,10.5,NA,52.5,NA,48.8
190720001,19,TANDEM,DAVENPORT,Common,1210,9.6,15.7,NA,54.1,NA,46
190720002,19,HULK,DAVENPORT,Common,1165,9.2,14.2,NA,53,NA,46.5
190720003,19,ASSURE,DAVENPORT,Common,1225,9.4,9,NA,54.1,NA,46.1
190720004,19,ROSALYN,DAVENPORT,Common,1225,9.6,7,NA,55.2,NA,44
190720005,19,PUMA,DAVENPORT,Common,1180,8.9,8.7,NA,52.5,NA,47.9
190720006,19,JASPER,DAVENPORT,Common,1270,8.2,10.5,NA,51.3,NA,50.7
190720007,19,PURL,DAVENPORT,Common,1190,7.8,7.9,NA,53.6,NA,47.5
190720008,19,STINGRAY,DAVENPORT,Common,1175,9.3,9.3,NA,51.5,NA,46.9
190720009,19,SWW10111-DH-44-S,DAVENPORT,Common,1215,10.7,11.6,NA,54.4,NA,41.7
190720010,19,WA8293,DAVENPORT,Common,1195,9.1,7,NA,53.6,NA,45.7
190720011,19,SWF1F1068-0-0-0-3,DAVENPORT,Common,1185,8.8,7,NA,52.8,NA,47.9
190720012,19,HRSWQ003-0-0-0-2,DAVENPORT,Common,1225,9,8.1,NA,52.9,NA,48.5
190720013,19,WA8307,DAVENPORT,Common,1170,8.5,7.9,NA,55,NA,45
190720014,19,SWW12128-DH-1-10,DAVENPORT,Common,1230,8.7,7.6,NA,52.4,NA,50.4
190720015,19,WA8305,DAVENPORT,Common,1225,7.7,7.6,NA,52.2,NA,46.8
190720016,19,WA8306,DAVENPORT,Common,1260,8.4,9,NA,52.1,NA,48.9
190720017,19,SWW13070-DH-2,DAVENPORT,Common,1210,9.5,10.5,NA,51.5,NA,48
190720018,19,SWW13412-DH-3,DAVENPORT,Common,1135,8.9,6.7,NA,53.3,NA,46.6
190720019,19,SWW11076-B-0-0-8,DAVENPORT,Common,1280,9,11.9,NA,50.9,NA,49.8
190720020,19,SWW11143-B-0-0-4,DAVENPORT,Common,1230,8.3,11.3,NA,52.7,NA,46.7
190720021,19,MAS11099-1--S- 8-0-2,DAVENPORT,Common,1275,9.3,6.7,NA,51.6,NA,49.3
190720022,19,SWW12240-DH-7-1,DAVENPORT,Common,1190,10.5,10.8,NA,55.2,NA,45.6
190720023,19,SWW12160-B-S-6-1-13,DAVENPORT,Common,1215,9.7,12.5,NA,54.2,NA,48.9
190720024,19,SWW12160-B-S-6-1-18,DAVENPORT,Common,1180,8.5,11.3,NA,51.5,NA,51
190720025,19,SWW12164-B-S-8-1-6,DAVENPORT,Common,1195,9.7,14.2,NA,54.5,NA,46.9
190720026,19,SWW12146-B-0-4,DAVENPORT,Common,1190,9,11.9,NA,54.1,NA,47.7
190720027,19,STEPHENS,DAVENPORT,Common,1250,9.5,12.8,NA,55.2,NA,46.5
190730001,19,TANDEM,PULLMAN,Common,1165,7.7,9.6,NA,56.8,NA,50
190730002,19,HULK,PULLMAN,Common,1185,8.1,11.9,NA,53.5,NA,48.9
190730003,19,ASSURE,PULLMAN,Common,1180,8.3,6.7,NA,54.6,NA,48.5
190730004,19,ROSALYN,PULLMAN,Common,1225,7.7,8.1,NA,58.1,NA,48.2
190730005,19,PUMA,PULLMAN,Common,1235,8,7,NA,55.1,NA,50.1
190730006,19,JASPER,PULLMAN,Common,1250,8.5,13.7,NA,51.2,NA,51.8
190730007,19,PURL,PULLMAN,Common,1175,8,9.3,NA,56.4,NA,47.2
190730008,19,STINGRAY,PULLMAN,Common,1225,8.9,8.4,NA,52.3,NA,48.3
190730009,19,SWW10111-DH-44-S,PULLMAN,Common,1225,8.4,8.4,NA,59.7,NA,45.7
190730010,19,WA8293,PULLMAN,Common,1235,7.9,9,NA,57.7,NA,46.9
190730011,19,SWF1F1068-0-0-0-3,PULLMAN,Common,1225,8,9,NA,55,NA,50.1
190730012,19,HRSWQ003-0-0-0-2,PULLMAN,Common,1215,8.5,7.6,NA,55.9,NA,48.8
190730013,19,WA8307,PULLMAN,Common,1195,8,8.4,NA,53.2,NA,43.8
190730014,19,SWW12128-DH-1-10,PULLMAN,Common,1170,8.2,5.3,NA,53.9,NA,51.7
190730015,19,WA8305,PULLMAN,Common,1245,7.8,8.1,NA,54.8,NA,47.2
190730016,19,WA8306,PULLMAN,Common,1240,8.2,10.5,NA,54.3,NA,50.8
190730017,19,SWW13070-DH-2,PULLMAN,Common,1175,8.3,10.2,NA,50.3,NA,50.8
190730018,19,SWW11076-B-0-0-8,PULLMAN,Common,1220,7.9,9.9,NA,49.2,NA,49.2
190730019,19,SWW11143-B-0-0-4,PULLMAN,Common,1180,8.1,10.2,NA,52.8,NA,46.9
190730020,19,MAS11099-1--S- 8-0-2,PULLMAN,Common,1200,9.3,9,NA,49,NA,51.4
190730021,19,SWW12240-DH-7-1,PULLMAN,Common,1225,8.6,11.6,NA,54.1,NA,49.5
190730022,19,SWW12160-B-S-6-1-13,PULLMAN,Common,1145,8.5,9.3,NA,54.4,NA,49.3
190730023,19,SWW12160-B-S-6-1-18,PULLMAN,Common,1195,8.6,6.7,NA,52.9,NA,51.6
190730024,19,SWW12164-B-S-8-1-6,PULLMAN,Common,1180,8.3,6.1,NA,51.2,NA,49.5
190730025,19,SWW12146-B-0-4,PULLMAN,Common,1155,8,8.1,NA,55.2,NA,49.6
190730026,19,HWW12041-B-S-2-1-1,PULLMAN,Common,1160,9.6,16.8,NA,58.5,NA,45.4
190730027,19,STEPHENS,PULLMAN,Common,1165,9.3,7.6,NA,53.4,NA,47.5
190740001,19,PRITCHETT,PULLMAN,Club,1230,8.6,5,88.4,51.9,64.3,49.5
190740002,19,CRESCENT,WALLA WALLA,Club,1275,8,4.7,87.3,53.1,65.2,51.5
190740003,19,CASTELLA,PULLMAN,Club,1258,6.7,5.5,81.6,51.8,64.3,52.1
190740004,19,ARS09X492-6CBW,PULLMAN,Club,1172,7.7,3.8,86.3,52.5,66.6,50.9
190740005,19,ARS09X488-1*CBW,PENDLETON,Club,1232,6.4,4.7,83.9,52,65.1,49.7
190740006,19,ARS10X022-19*CBW,PENDLETON,Club,1250,7.3,5.8,92,53.1,72.6,53.4
190740007,19,ARS09X500-14*CBW,PENDLETON,Club,1200,7.4,5.5,85.5,53.3,68,52.1
190740008,19,BRUEHL,GENESEE,Club,1225,7,5,89.1,51.9,64.2,48.5
190790001,19,10X022-0-19*CBW,LIND,Club,1175,10,6.7,76.1,51.5,69.1,52.7
190790002,19,12X015-0-1-68-CBW,LIND,Club,1135,9.7,9,73.7,50.6,63.4,50.2
190790003,19,12X016-0-1-45-CBW,LIND,Club,1200,9.9,6.1,70.9,49.5,61.6,50.9
190790004,19,09X488-0-0-1*CBW,LIND,Club,1155,9.8,6.4,72.1,51.1,64.1,49
190790005,19,09X500-0-0-17*CBW,LIND,Club,1205,8.6,6.7,74.5,51.2,65.3,52
190790006,19,12X023-0-1-2-CBW,LIND,Club,1150,10.9,6.1,75.3,51.5,62.9,50.7
190790007,19,09X500-0-0-14*CBW,LIND,Club,1170,9.8,9.3,75.3,52.1,65.3,52.6
190790008,19,09X492-0-0-6*CBW,LIND,Club,1140,10.5,5.3,69.2,50.9,68,53.3
190790009,19,12X085-0-0-0-70D,LIND,Club,1200,9.9,7.9,73.6,51.3,63.3,48.5
190790010,19,12X078-0-0-0-51D,LIND,Club,1155,9.5,6.1,73.1,51.2,61.6,47
190790011,19,12X081-0-0-0-14D,LIND,Club,1060,10.3,6.4,75.4,52,62.4,46.9
190790012,19,12X081-0-0-0-1D,LIND,Club,1115,9.9,5.8,76.1,53.6,62.4,45.8
190790013,19,12X079-0-0-0-61D,LIND,Club,1160,10.8,5.8,78.4,52,61,47.8
190790014,19,12X085-0-0-0-11D,LIND,Club,1160,9.1,6.7,74.3,51.3,63.1,47.9
190790015,19,12X080-0-0-0-7D,LIND,Club,1300,9.7,6.1,76,52.3,62.9,49.5
190790016,19,12X081-0-0-0-10D,LIND,Club,1115,10.1,5.8,77,53.7,63.7,47.4
190790017,19,12X081-0-0-0-2D,LIND,Club,1165,10.2,6.1,76.7,54,64.5,47.9
190790018,19,12X085-0-0-0-47D,LIND,Club,1115,9.8,6.4,76.4,52.4,63,48.5
190790019,19,12X078-0-0-0-63D,LIND,Club,1090,9.1,9.6,77.1,49.5,63.9,48.6
190790020,19,12X081-0-0-0-31D,LIND,Club,1135,9.8,5.8,75.7,52.9,65.8,47.4
190790021,19,12X081-0-0-0-46D,LIND,Club,1090,10.9,6.1,74.3,52.1,56.3,48.1
190790022,19,12X075-0-0-0-60D,LIND,Club,1200,9.7,9.9,77.2,51.5,60.7,45.7
190790023,19,12X081-0-0-0-12D,LIND,Club,1120,10.1,6.1,74.7,51.9,58.1,48.2
190790024,19,12X081-0-0-0-54D,LIND,Club,1085,10.4,5.8,75.3,52.8,59,48.4
190790025,19,12X081-0-0-0-51D,LIND,Club,1185,10.4,5.5,77,53.3,60.8,47.2
190790026,19,12X081-0-0-0-66D,LIND,Club,1230,10.9,7.3,76.3,51,58.8,47.6
190790027,19,12X097-0-0-0-63D,LIND,Club,1260,9.8,6.1,74.7,52.4,59,48
190790028,19,12X093-0-0-0-43D,LIND,Club,1175,9.4,7,74.6,51.6,57.4,47.1
190790029,19,12X097-0-0-0-21D,LIND,Club,1215,9.5,6.1,74.5,51.1,58.6,49.7
190790030,19,12X099-0-0-0-55D,LIND,Club,1130,9.6,7.3,76.4,52.6,59.3,45.5
190790031,19,12X097-0-0-0-8D,LIND,Club,1250,9.7,7.6,73,52.5,58.1,50.7
190790032,19,12X092-0-0-0-29D,LIND,Club,1010,10.2,6.1,71.8,50.2,54.6,48.9
190790033,19,12X097-0-0-0-12D,LIND,Club,1050,8.6,6.7,73.2,51.9,58.8,49.5
190790034,19,12X074-0-0-285,LIND,Club,1210,7.8,7,78.8,55.3,61.3,49.2
190790035,19,14X1089-0-2,LIND,Club,1225,5.7,7.3,76.2,54.5,62.9,50.2
190790036,19,12X099-0-0-271,LIND,Club,1190,6.1,5.3,76.5,53,60.4,49.5
190790037,19,12X099-0-0-158,LIND,Club,1270,5.8,3.2,73.7,51.3,59.6,49.9
190790038,19,SWW13657-B-4-1-1T-2,LIND,Club,1205,4.8,3.5,80.4,56,62.6,45
190790039,19,12X084-0-0-113,LIND,Club,1215,5.4,3.2,76.8,55.2,63,49.1
190790040,19,14X1129-0-8,LIND,Club,1155,5.3,4.1,74.3,53.5,60.4,52.8
190790041,19,12X099-0-0-75,LIND,Club,1250,5.1,3.2,72.3,51.1,58.8,52.3
190790042,19,SWW13657-B-4-1-1T-1,LIND,Club,1200,6.2,5.5,81.3,54,63.4,43.8
190790043,19,12X074-0-0-18,LIND,Club,1235,6.7,5.5,85.6,58,64.1,49.3
190790044,19,12X099-0-0-85,LIND,Club,1140,6.8,5.8,74.1,50.4,58.3,48.3
190790045,19,SWW13657-B-4-1-1T-3,LIND,Club,1185,5.4,5.5,81.3,54.6,62.4,45
190790046,19,12X099-0-0-89,LIND,Club,1125,5.5,4.7,75.2,49.8,56.8,50.8
190790047,19,14X1058-0-4,LIND,Club,1200,5.8,4.4,75.7,52.1,62,53.2
190790048,19,12X086-0-0-0-5S,LIND,Club,1205,7.9,8.4,78.1,53.9,59.1,48.2
190790049,19,12X075-0-0-0-11S,LIND,Club,1110,7.8,8.4,81.3,53.5,61.3,48.3
190790050,19,12X076-0-0-0-3S,LIND,Club,1195,7.1,8.7,84.7,56.3,61.8,52.1
190790051,19,12X083-0-0-0-2S,LIND,Club,1215,8.3,7.9,78.1,51.6,58.6,47.4
190790052,19,12X076-0-0-0-2S,LIND,Club,1230,6.9,5.5,81.7,53.8,60.9,51.4
190790053,19,12X076-0-0-0-1S,LIND,Club,1220,7.2,6.7,82.9,56.3,62.2,50.9
190790054,19,12X084-0-0-0-4S,LIND,Club,1150,8.1,6.1,78.9,51.9,61.4,45.2
190790055,19,12X082-0-0-0-4S,LIND,Club,1280,8.6,5,77.8,52.1,58.3,49.5
190790058,19,12X076-0-0-0-9S,LIND,Club,1235,6.8,4.4,84.3,55.8,63,50.6
190790059,19,12X074-0-0-0-5S,LIND,Club,1290,7.7,7.6,98.9,58.1,66.6,46.2
190790062,19,12X074-0-0-0-6S,LIND,Club,1240,7.8,5.3,103.4,57.8,75.8,44.7
190790063,19,13DH0825-64,LIND,Club,1230,9.2,8.7,96.2,53.6,69.2,50.4
190790064,19,14DH1075-33,LIND,Club,1230,7.8,3.8,88.8,53,68.5,47.5
190790066,19,13DH0825-41,LIND,Club,1140,8.2,4.7,94.6,53.3,69.7,47.5
190790069,19,14DH1033-3,LIND,Club,1220,8.9,5.3,87.3,52.8,67.6,47
190790070,19,14DH1074-38,LIND,Club,1250,6.7,5.3,88.8,52.3,70,52.9
190790071,19,14DH1014-9,LIND,Club,1235,7.3,5,96.5,56.2,71.8,51.4
190790072,19,14DH1014-21,LIND,Club,1220,7.9,5.8,89,51.5,66.9,53.9
190790073,19,14DH1075-6,LIND,Club,1190,6.9,5.3,91.9,54.5,68.8,45.3
190790075,19,14DH1014-30,LIND,Club,1210,7.8,3.8,91.2,54.1,68.9,50.9
190790080,19,14DH1127-3,LIND,Club,1185,9.5,6.1,91.3,52.4,68,48.4
190790081,19,13DH0830-12,LIND,Club,1250,8.6,5.8,91.1,52.4,69.1,48.6
190790082,19,14DH1127-8,LIND,Club,1190,7.3,5.8,83.1,50.7,64,51.9
190790084,19,14DH1127-6,LIND,Club,1185,8.5,4.4,87.7,50.2,62.6,51.6
190790085,19,14DH1122-41,LIND,Club,1240,9.1,7,91.6,52.8,67,53
190790086,19,13DH0830-26,LIND,Club,1190,7.2,4.7,84.7,50.6,66.4,49.3
190790087,19,13DH0825-48,LIND,Club,1195,9.3,9,93.9,53.7,68.7,50.6
190790089,19,14DH1127-1,LIND,Club,1200,7.8,6.7,91,54.7,71.5,48.1
190790091,19,14DH1127-2,LIND,Club,1235,6.7,3.2,88.9,51.8,68.1,48.7
190790092,19,14DH1033-20,LIND,Club,1255,7.8,3.2,87.3,53.7,68.2,48.1
190790093,19,13DH0825-24,LIND,Club,1230,8.3,4.1,90.6,52.4,65.8,49.5
190790094,19,14DH1066-14,LIND,Club,1140,8.1,5.3,97.5,57,71.4,46.9
190790095,19,BRUEHL,LIND,Club,1185,10.1,7.6,86.3,50.8,62,46.6
190790096,19,CRESCENT,LIND,Club,1235,9.8,5,90.7,47.6,66.2,50.4
190790097,19,CASTELLA,LIND,Club,1130,9.2,5.5,82.2,51,63.1,51.7
190790098,19,BOBTAIL,LIND,Common,1090,9.2,9.6,88.8,52.8,63.5,50.7
190790099,19,HULK,LIND,Common,1100,10.5,11.3,95.2,53.4,65.2,48.6
190790100,19,ROSALYN,LIND,Common,1255,5.1,3.8,87.5,56.4,71.1,49.9
190790101,19,COMMAND,LIND,Common,1150,9.7,9.3,89.2,50.8,65.4,47.6
190790102,19,DEVOTE,LIND,Common,1165,9.3,8.4,96.1,54.6,67.9,48.8
190790103,19,STEPHENS,LIND,Common,1075,10,9.3,91.5,54.2,67.7,46.4
190790104,19,PRITCHETT,LIND,Club,1110,9.8,5.8,82.9,50.5,62.4,47.9
190790105,19,JASPER,LIND,Common,1150,11,9,92.9,51.9,66,49.5
190880001,19,12X076-0-0-0-T-9,PENDLETON,Club,1175,5.8,4.1,NA,55.9,NA,51.5
190880002,19,12X084-0-0-0-T-8,PENDLETON,Club,1100,6.6,4.7,NA,51.5,NA,48.3
190880003,19,12X080-0-0-0-T-22,PENDLETON,Club,1190,6.3,3.8,NA,58.4,NA,45.4
190880004,19,12X080-0-0-0-T-6,PENDLETON,Club,1140,6,3.5,NA,56.1,NA,49
190880005,19,12X076-0-0-0-T-5,PENDLETON,Club,1190,6,4.1,NA,57.3,NA,49.2
190880006,19,12X079-0-0-0-T-3,PENDLETON,Club,1225,6.7,3.8,NA,54.4,NA,50.2
190880007,19,12X078-0-0-0-T-22,PENDLETON,Club,1155,5.7,4.4,NA,52.6,NA,50.7
190880008,19,12X085-0-0-0-T-4,PENDLETON,Club,1145,7,4.7,NA,54.5,NA,48.2
190880009,19,12X074-0-0-0-T-11,PENDLETON,Club,1255,6.2,3.2,NA,53.9,NA,49.3
190880010,19,12X074-0-0-0-T-2,PENDLETON,Club,1280,6.3,3.8,NA,55.3,NA,48.8
190880011,19,12X081-0-0-0-T-4,PENDLETON,Club,1215,5.8,3.8,NA,57.4,NA,46.5
190880012,19,12X080-0-0-0-T-17,PENDLETON,Club,1115,6.3,4.1,NA,58.2,NA,46.9
190880013,19,12X078-0-0-0-T-15,PENDLETON,Club,1215,6.3,3.2,NA,52.1,NA,50.7
190880014,19,12X078-0-0-0-T-20,PENDLETON,Club,1190,5.6,3.5,NA,53.5,NA,48.1
190880015,19,12X080-0-0-0-T-14,PENDLETON,Club,1200,6.1,3.2,NA,58.4,NA,46.6
190880016,19,12X080-0-0-0-T-9,PENDLETON,Club,1235,6.3,3.8,NA,54,NA,49.5
190880017,19,12X084-0-0-0-T-9,PENDLETON,Club,1230,6.7,4.1,NA,51.6,NA,47.3
190880018,19,12X076-0-0-0-T-4,PENDLETON,Club,1200,6.4,4.4,NA,53.9,NA,51.9
190880019,19,12X080-0-0-0-T-23,PENDLETON,Club,1235,7.7,4.1,NA,56.1,NA,45.3
190880020,19,12X078-0-0-0-T-5,PENDLETON,Club,1230,6.2,4.4,NA,51.6,NA,47.6
190880021,19,12X075-0-0-0-T-6,PENDLETON,Club,1065,7,6.7,NA,56.7,NA,47
190880022,19,12X081-0-0-0-T-10,PENDLETON,Club,1185,6,4.7,NA,60.9,NA,47.7
190880023,19,12X078-0-0-0-T-23,PENDLETON,Club,1125,6.2,7,NA,57.1,NA,47.5
190880024,19,12X080-0-0-0-T-15,PENDLETON,Club,1190,6,3.2,NA,60.7,NA,44.8
190880025,19,12X078-0-0-0-T-9,PENDLETON,Club,1175,6.4,3.8,NA,56.1,NA,47.2
190880026,19,12X078-0-0-0-T-10,PENDLETON,Club,1220,6,3.2,NA,55.5,NA,49.3
190880027,19,12X080-0-0-0-T-12,PENDLETON,Club,1280,5.9,3.2,NA,59.8,NA,49.8
190880028,19,12X080-0-0-0-T-20,PENDLETON,Club,1230,6,3.5,NA,60.8,NA,46.7
190880029,19,12X078-0-0-0-T-12,PENDLETON,Club,1130,5.9,3.2,NA,56.9,NA,49
190880030,19,12X080-0-0-0-T-18,PENDLETON,Club,1250,6.2,3.5,NA,63,NA,47
190880031,19,12X084-0-0-0-T-4,PENDLETON,Club,1180,6.2,6.4,NA,58.7,NA,47.9
190880032,19,12X080-0-0-0-T-4,PENDLETON,Club,1260,6.2,3.8,NA,60.2,NA,47
190880033,19,12X085-0-0-0-T-3,PENDLETON,Club,1185,6.4,4.7,NA,57.3,NA,48.4
190880034,19,12X074-0-0-0-T-8,PENDLETON,Club,1255,5.9,3.8,NA,58.4,NA,48.5
190880035,19,12X074-0-0-0-T-1,PENDLETON,Club,1260,6.4,4.1,NA,60.7,NA,47.5
190880036,19,12X080-0-0-0-T-2,PENDLETON,Club,1260,6.1,3.2,NA,59.4,NA,49.8
190880037,19,12X080-0-0-0-T-19,PENDLETON,Club,1215,7.6,4.1,NA,61.3,NA,44.7
190880038,19,12X081-0-0-0-T-14,PENDLETON,Club,1205,6.1,3.8,NA,61.1,NA,48.2
190880039,19,12X080-0-0-0-T-5,PENDLETON,Club,1245,6.5,3.8,NA,60.6,NA,46.7
190880040,19,12X080-0-0-0-T-10,PENDLETON,Club,1240,6,3.5,NA,60.6,NA,36.2
190880041,19,12X090-0-0-0-T-3,PENDLETON,Club,1060,6,3.5,NA,52.6,NA,49.4
190880042,19,12X086-0-0-0-T-11,PENDLETON,Club,1230,5.6,3.8,NA,55,NA,52
190880043,19,12X099-0-0-0-T-14,PENDLETON,Club,1200,6.2,4.4,NA,52.8,NA,50
190880044,19,12X086-0-0-0-T-10,PENDLETON,Club,1165,5.5,3.2,NA,53.8,NA,49.6
190880045,19,12X086-0-0-0-T-1,PENDLETON,Club,1240,5.4,4.1,NA,54.2,NA,49.7
190880046,19,12X091-0-0-0-T-4,PENDLETON,Club,1130,6.4,3.2,NA,51.2,NA,46.1
190880047,19,12X091-0-0-0-T-5,PENDLETON,Club,1140,6.9,3.5,NA,52.2,NA,45.5
190880048,19,12X086-0-0-0-T-9,PENDLETON,Club,1135,5.3,3.5,NA,54.6,NA,47.2
190880049,19,12X086-0-0-0-T-2,PENDLETON,Club,1110,5.9,5,NA,53.3,NA,46.3
190880050,19,12X099-0-0-0-T-10,PENDLETON,Club,1175,7,4.7,NA,50.7,NA,50.8
190880051,19,12X086-0-0-0-T-3,PENDLETON,Club,1200,6.1,5.8,NA,51.7,NA,49.2
190880052,19,12X091-0-0-0-T-16,PENDLETON,Club,1110,6.5,4.4,NA,51.6,NA,45.6
190880053,19,12X086-0-0-0-T-13,PENDLETON,Club,855,5.6,4.7,NA,55.9,NA,47.9
190880054,19,12X091-0-0-0-T-11,PENDLETON,Club,1165,5.6,4.4,NA,50,NA,44.6
190880055,19,12X091-0-0-0-T-14,PENDLETON,Club,1125,5.3,4.1,NA,51.1,NA,47.8
190880056,19,12X091-0-0-0-T-1,PENDLETON,Club,985,6.5,4.7,NA,53.6,NA,43
190880057,19,12X087-0-0-0-T-6,PENDLETON,Club,1170,6,3.2,NA,56.8,NA,52.6
190880058,19,12X086-0-0-0-T-8,PENDLETON,Club,1175,6.8,4.4,NA,53.8,NA,48.3
190880059,19,12X086-0-0-0-T-7,PENDLETON,Club,1190,5,4.4,NA,52.3,NA,50.8
190880060,19,12X085-0-0-0-T-8,PENDLETON,Club,1225,5.4,4.7,NA,51.4,NA,49.3
190880061,19,BRUEHL,PENDLETON,Club,1220,6.3,4.4,NA,52.3,NA,48.1
190880062,19,CRESCENT,PENDLETON,Club,1255,5.9,3.8,NA,54.8,NA,52.7
190880063,19,CASTELLA,PENDLETON,Club,1255,6.2,4.1,NA,52.7,NA,54.2
190880064,19,HULK,PENDLETON,Common,1100,5.8,4.7,NA,56.3,NA,48.9
190880065,19,ROSLYN,PENDLETON,Common,1205,5.7,3.2,NA,53.8,NA,49.1
190880066,19,SYCOMMAND,PENDLETON,Common,1180,5.5,4.7,NA,56.5,NA,46.8
190880067,19,STEPHENS,PENDLETON,Common,1160,5.5,3.8,NA,53.2,NA,48.5
190880068,19,BOBTAIL,PENDLETON,Common,1185,5.1,4.1,NA,52.7,NA,51.6
190880069,19,PRITCHETT,PENDLETON,Club,1205,5.2,3.2,NA,52.2,NA,50.2
190990001,19,WA8312,PULLMAN2,Club,1215,7.9,7.6,NA,46.8,NA,55.1
190990002,19,CLBC1208-2,PULLMAN2,Club,1135,6.8,7,NA,50,NA,53
190990003,19,SW13019-1,PULLMAN2,Common,1210,7,9.6,NA,48.5,NA,54.3
190990004,19,SW13034-6,PULLMAN2,Common,1180,7.7,10.5,NA,48.9,NA,54.8
190990005,19,SWBC1304-5,PULLMAN2,Common,1165,7.5,11,NA,50.1,NA,53.9
190990006,19,SW14053-16,PULLMAN2,Common,1225,6.5,9.9,NA,51.4,NA,53.9
190990007,19,SW14115-8,PULLMAN2,Common,1180,6.9,9.9,NA,51.4,NA,53.2
190990008,19,SW14118-3,PULLMAN2,Common,1255,7.1,11,NA,52.3,NA,51
190990009,19,SW14124-4,PULLMAN2,Common,1225,7.3,9.9,NA,50.3,NA,52.2
190990010,19,SW14137-3,PULLMAN2,Common,1190,5.8,7.3,NA,54.5,NA,52.5
190990011,19,SW14172-2,PULLMAN2,Common,1180,6.2,8.1,NA,52.9,NA,54
190990012,19,SW14207-3,PULLMAN2,Common,1215,7.2,9,NA,51.3,NA,52.6
190990013,19,SW14210-2,PULLMAN2,Common,1225,6.9,9.3,NA,51.5,NA,53.8
190990014,19,RYAN,PULLMAN2,Common,1225,7.6,9.3,NA,52.2,NA,50.8
191040001,19,SW15095-11,PLAZA,Common,1255,6.8,8.1,NA,54.7,NA,47.6
191040002,19,SW15161-4,PLAZA,Common,1240,6.9,9.3,NA,51.7,NA,49.4
191040003,19,SW15100-1,PLAZA,Common,1260,6.8,5.8,NA,52.8,NA,50.8
191040004,19,SW15102-3,PLAZA,Common,1260,6.8,5,NA,53.4,NA,52
191040005,19,SW15144-6,PLAZA,Common,1310,6.7,4.1,NA,51.5,NA,51.2
